zneb	u	offset	age	mass	stars
0.5	-2.6999999999999993	498.023	7	300	single
0.5	-2.499999999999999	497.55	7	300	single
0.5	-2.299999999999999	525.782	7	300	single
0.5	-2.0999999999999988	524.695	7	300	single
0.5	-1.8999999999999986	496.278	7	300	single
0.5	-1.6999999999999984	482.495	7	300	single
0.5	-1.4999999999999982	508.478	7	300	single
0.1	-3.5		7	100	single
0.1	-3.3		7	100	single
0.1	-3.0999999999999996		7	100	single
0.1	-2.8999999999999995		7	100	single
0.1	-2.6999999999999993		7	100	single
0.1	-2.499999999999999		7	100	single
0.1	-2.299999999999999		7	100	single
0.1	-2.0999999999999988		7	100	single
0.1	-1.8999999999999986	458.05	7	100	single
0.1	-1.6999999999999984		7	100	single
0.1	-1.4999999999999982		7	100	single
0.2	-3.5		7	100	single
0.2	-3.3		7	100	single
0.2	-3.0999999999999996		7	100	single
0.2	-2.8999999999999995		7	100	single
0.2	-2.6999999999999993	546.231	7	100	single
0.2	-2.499999999999999	489.896	7	100	single
0.2	-2.299999999999999	500.879	7	100	single
0.2	-2.0999999999999988	1067.138	7	100	single
0.2	-1.8999999999999986		7	100	single
0.2	-1.6999999999999984	463.747	7	100	single
0.2	-1.4999999999999982	485.593	7	100	single
0.3	-3.5	629.082	7	100	single
0.3	-3.3	627.836	7	100	single
0.3	-3.0999999999999996	627.178	7	100	single
0.3	-2.8999999999999995	626.624	7	100	single
0.3	-2.6999999999999993	624.999	7	100	single
0.3	-2.499999999999999	622.185	7	100	single
0.3	-2.299999999999999	479.967	7	100	single
0.3	-2.0999999999999988	609.947	7	100	single
0.3	-1.8999999999999986	473.425	7	100	single
0.3	-1.6999999999999984	575.078	7	100	single
0.3	-1.4999999999999982	428.056	7	100	single
0.5	-3.5	1077.749	7	100	single
0.5	-3.3	1076.825	7	100	single
0.5	-3.0999999999999996	1076.246	7	100	single
0.5	-2.8999999999999995	1076.354	7	100	single
0.5	-2.6999999999999993	1076.201	7	100	single
0.5	-2.499999999999999	1076.344	7	100	single
0.5	-2.299999999999999	1076.281	7	100	single
0.5	-2.0999999999999988	1076.141	7	100	single
0.5	-1.8999999999999986	1075.753	7	100	single
0.5	-1.6999999999999984	1076.256	7	100	single
0.5	-1.4999999999999982	1076.116	7	100	single
