wave	45000[g45]	43000[g45]	41000[g45]	39000[g40]	38000[g40]	37000[g40]	36000[g40]	35000[g40]	34000[g40]	33000[g40]	32000[g40]	30000[g40]	25000[g40]	19000[g40]	15000[g40]	12000[g40]	9500[g40]	9250[g40]	8250[g40]	7250[g40]	7000[g40]	6500[g40]	6250[g45]	6000[g45]	5750[g45]	5500[g45]	5250[g45]	4750[g45]	4500[g45]	4250[g45]	4000[g45]
0.1995	0.0031422656	0.0029246104	0.0027058986	0.0023931512	0.0022906633	0.002182892	0.0020687815	0.0019483315	0.0018204856	0.0016863	0.001545775	0.0012478197	0.00062169106	0.00023656803	9.718413e-05	3.5638408e-05	8.930205e-06	7.4235236e-06	3.013363e-06	6.858254e-07	3.8956065e-07	7.524955e-08	2.3350395e-08	6.7842936e-09	2.1892315e-09	7.299904e-10	2.1099882e-10	1.2097829e-11	1.2414802e-12	2.5209972e-13	1.0336512e-13
0.2005	0.0031322257	0.002918786	0.0027064136	0.0023937246	0.0022966096	0.002196293	0.0020917077	0.0019807192	0.0018579914	0.0017256589	0.0015837216	0.0012827717	0.0006528049	0.0002470563	0.00010067944	3.658354e-05	8.80118e-06	7.256945e-06	2.8280742e-06	6.313542e-07	3.6071287e-07	7.325246e-08	2.3115504e-08	6.9346515e-09	2.2464515e-09	7.439436e-10	2.1482692e-10	1.3254596e-11	1.4471203e-12	2.9892213e-13	1.2304791e-13
0.2015	0.003110732	0.0028983916	0.002688207	0.0023788584	0.0022818502	0.002183764	0.0020813665	0.0019735794	0.0018571694	0.0017310587	0.0015930914	0.0012934436	0.00065049436	0.00024058051	9.6145974e-05	3.44056e-05	8.511937e-06	7.0600463e-06	2.7776703e-06	6.231165e-07	3.5946954e-07	7.672276e-08	2.6289241e-08	7.937432e-09	2.5373053e-09	8.4192403e-10	2.4553873e-10	1.530575e-11	1.6383619e-12	3.4146912e-13	1.4120092e-13
0.2025	0.0030926976	0.0028815104	0.0026714115	0.0023655165	0.0022686315	0.002170658	0.002070507	0.0019649137	0.0018538769	0.0017330429	0.0016035001	0.0013171997	0.00067656167	0.00025712606	0.00010362334	3.66421e-05	8.476887e-06	6.9354373e-06	2.606096e-06	5.6138833e-07	3.1699878e-07	6.3813424e-08	2.0215204e-08	6.3116725e-09	2.1227597e-09	7.022525e-10	1.9888625e-10	1.2682129e-11	1.4402108e-12	3.2091772e-13	1.361832e-13
0.2035	0.0030617532	0.0028528722	0.002645091	0.0023460616	0.0022493168	0.0021514725	0.0020503302	0.0019414924	0.0018238595	0.0016952329	0.0015545131	0.0012477881	0.00061828725	0.00023801421	9.8503806e-05	3.6004458e-05	8.953292e-06	7.430661e-06	3.0100828e-06	7.3174255e-07	4.3117402e-07	9.476594e-08	3.2156656e-08	9.393041e-09	2.919934e-09	9.578836e-10	2.762724e-10	1.7534996e-11	1.8865237e-12	4.0522883e-13	1.7084253e-13
0.2045	0.003025306	0.002819918	0.0026167508	0.0023203264	0.002225959	0.002129371	0.002030563	0.0019250937	0.0018096325	0.0016841794	0.0015487346	0.0012545305	0.0006374791	0.000244911	0.00010143934	3.7358364e-05	9.502236e-06	7.953501e-06	3.3295019e-06	8.21884e-07	4.8626936e-07	1.0850024e-07	3.775804e-08	1.1082056e-08	3.4049956e-09	1.1092048e-09	3.1818445e-10	1.9395263e-11	1.9739427e-12	4.2909385e-13	1.8273958e-13
0.2055	0.002309442	0.002130068	0.0019708732	0.0018015888	0.0017264759	0.0016558474	0.001587461	0.0015201957	0.0014495671	0.0013744542	0.0012937358	0.0011037114	0.0006172712	0.00023778282	9.701898e-05	3.5762718e-05	9.076331e-06	7.583041e-06	3.1547424e-06	7.6682437e-07	4.4832322e-07	9.777011e-08	3.4630418e-08	1.0711998e-08	3.5146117e-09	1.1793849e-09	3.428288e-10	2.1984543e-11	2.3711018e-12	5.104315e-13	2.1513684e-13
0.2065	0.0022425428	0.0020648148	0.0019074632	0.001768224	0.0016912464	0.0016199286	0.0015508751	0.0014829537	0.0014139	0.0013414505	0.0012656047	0.0010895747	0.0006225009	0.00024315911	9.9674864e-05	3.5975776e-05	8.961115e-06	7.463445e-06	3.0530732e-06	7.300433e-07	4.2530203e-07	9.335815e-08	3.4051332e-08	1.0742924e-08	3.5658807e-09	1.1999471e-09	3.4753186e-10	2.1689612e-11	2.2097142e-12	4.925443e-13	2.1270762e-13
0.2074	0.0023169452	0.0021365224	0.0019743708	0.0018499019	0.001769968	0.0016957434	0.0016238028	0.0015541461	0.0014833474	0.0014102648	0.0013326146	0.0011521921	0.00066299574	0.00025693083	0.00010359451	3.75119e-05	9.693715e-06	8.1715425e-06	3.6015992e-06	8.949186e-07	5.1534613e-07	1.0465649e-07	3.5479292e-08	1.0971517e-08	3.7477643e-09	1.2583901e-09	3.511388e-10	2.064582e-11	1.9469647e-12	4.5653753e-13	2.008628e-13
0.2078	0.0023854997	0.0022009416	0.0020301393	0.0019166532	0.0018295327	0.001745851	0.001664462	0.001583073	0.0015005377	0.0014145634	0.0013228576	0.0011113607	0.00059620297	0.0002364866	0.00010047527	3.7863072e-05	9.9959425e-06	8.435796e-06	3.8161115e-06	1.1274094e-06	7.086573e-07	1.7790944e-07	6.052589e-08	1.6747789e-08	4.762975e-09	1.5142936e-09	4.3124698e-10	2.6331055e-11	2.7741034e-12	6.137417e-13	2.6365444e-13
